name,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
Soldier of Fortune II: Double Helix,230000.0,170000.0,50000.0,0.0,10000.0,61.0,6.8,2003-06-18
Soldier of Fortune: Payback,150000.0,120000.0,20000.0,0.0,20000.0,50.0,5.3,2007-11-14
Solitaire Overload,420000.0,390000.0,0.0,0.0,30000.0,64.0,8.0,2007-10-26
Song of the Deep,350000.0,300000.0,0.0,0.0,50000.0,68.7,7.1,2016-07-12
Sonic Advance,2240000.0,1190000.0,710000.0,220000.0,130000.0,87.0,7.9,2002-02-04
Sonic Advance 2,1800000.0,930000.0,590000.0,210000.0,70000.0,83.0,8.1,2003-03-09
Sonic Advance 3,1400000.0,740000.0,520000.0,80000.0,60000.0,79.0,8.4,2004-06-07
Sonic Adventure 2,120000.0,0.0,0.0,120000.0,0.0,89.0,8.5,2001-06-18
Sonic Boom: Rise of Lyric,310000.0,190000.0,90000.0,0.0,30000.0,32.0,3.5,2014-11-11
Sonic Boom: Shattered Crystal,290000.0,170000.0,90000.0,0.0,30000.0,47.0,6.0,2014-11-11
Sonic Classic Collection,1860000.0,940000.0,740000.0,0.0,180000.0,70.0,7.5,2010-03-02
Sonic Forces,1590000.0,690000.0,690000.0,20000.0,180000.0,58.7,7.0,2017-11-07
Sonic Free Riders,1100000.0,750000.0,250000.0,0.0,100000.0,47.0,2.3,2010-11-04
Sonic Gems Collection,420000.0,320000.0,80000.0,0.0,10000.0,64.0,8.1,2005-08-16
Sonic Generations,4150000.0,1770000.0,1850000.0,30000.0,480000.0,74.0,7.9,2011-11-01
Sonic Heroes,900000.0,410000.0,430000.0,10000.0,50000.0,73.0,7.7,2004-01-27
Sonic Lost World,850000.0,420000.0,280000.0,80000.0,70000.0,61.0,6.7,2013-10-29
Sonic Mania,910000.0,420000.0,360000.0,20000.0,100000.0,85.0,7.9,2017-08-15
Sonic Mega Collection Plus,920000.0,610000.0,270000.0,0.0,40000.0,77.0,7.8,2004-11-02
Sonic Riders,920000.0,710000.0,180000.0,0.0,30000.0,59.0,8.0,2006-02-21
Sonic Riders: Zero Gravity,910000.0,480000.0,320000.0,20000.0,90000.0,56.0,8.1,2008-01-08
Sonic Rivals,1440000.0,730000.0,430000.0,0.0,280000.0,64.0,7.8,2006-11-16
Sonic Rivals 2,1520000.0,440000.0,700000.0,0.0,370000.0,60.0,8.0,2007-11-13
Sonic Unleashed,2740000.0,1470000.0,680000.0,10000.0,590000.0,60.0,7.7,2008-12-09
Sonic's Ultimate Genesis Collection,3840000.0,2290000.0,1080000.0,0.0,470000.0,79.5,7.9,2009-02-10
Sorcery,300000.0,140000.0,110000.0,0.0,50000.0,70.0,7.3,2012-05-22
Soul Bubbles,80000.0,50000.0,20000.0,0.0,10000.0,78.0,8.0,2008-06-10
Soul Reaver 2,550000.0,270000.0,210000.0,0.0,70000.0,80.0,8.5,2001-10-31
Soul Sacrifice,560000.0,150000.0,110000.0,220000.0,80000.0,77.0,8.2,2013-04-30
SoulCalibur,340000.0,0.0,0.0,340000.0,0.0,98.0,8.6,1999-09-09
SoulCalibur II,2500000.0,1770000.0,500000.0,140000.0,80000.0,92.5,8.8,2003-08-27
SoulCalibur III,1070000.0,740000.0,150000.0,130000.0,50000.0,86.0,8.5,2005-10-25
SoulCalibur Legends,180000.0,160000.0,10000.0,0.0,10000.0,52.0,5.7,2007-11-20
SoulCalibur V,590000.0,390000.0,130000.0,20000.0,50000.0,77.0,6.3,2012-01-31
SoulCalibur VI,1010000.0,700000.0,120000.0,40000.0,150000.0,84.0,5.6,2018-10-19
SoulCalibur: Broken Destiny,510000.0,120000.0,200000.0,70000.0,120000.0,80.0,6.5,2009-09-01
South Park: The Fractured But Whole,2050000.0,1020000.0,740000.0,0.0,300000.0,81.5,7.8,2017-10-17
